cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp,tcp_congestion_encoded,workload_type,kernel_sched_latency_ns,kernel_sched_migration_cost_ns,vm_swappiness,vm_dirty_ratio,vm_dirty_expire_centisecs,tcp_rmem_min,tcp_rmem_default,tcp_rmem_max
12.1,4.0947265625,4.408203125,4.4833984375,0.0,2.0,32.0,28.17,472735358976,414795546624,54761574400,12.3,0,0,0.0,64550758854656,215044364458496,143591115,293634427,cubic,2025-07-17 16:58:09,0,cpu_bound,6000000,500000,10,10,300,4096,87380,6291456
10.6,4.0068359375,4.384765625,4.47509765625,0.0,2.0,32.0,28.16,472735358976,414782205952,54774685696,12.3,0,0,0.0,64550758854656,215044365224448,143597863,293640739,cubic,2025-07-17 16:58:13,0,cpu_bound,6000000,500000,10,10,300,4096,87380,6291456
11.2,8.25,5.251953125,4.75439453125,0.0,2.0,32.0,28.1,472735358976,414746034176,54810857472,12.3,0,0,0.0,64550758854656,215044366330368,143664462,293701914,cubic,2025-07-17 16:58:21,0,cpu_bound,6000000,500000,10,10,300,4096,65536,4194304
10.0,8.25,5.251953125,4.75439453125,0.0,2.0,32.0,28.13,472735358976,414744956928,54811934720,12.3,0,0,0.0,64550758854656,215044366387712,143675215,293711413,cubic,2025-07-17 16:58:24,0,cpu_bound,6000000,500000,10,10,300,4096,65536,4194304
11.4,7.82958984375,5.21435546875,4.74462890625,0.0,2.0,32.0,28.05,472735358976,414749032448,54807859200,12.3,0,0,0.0,64550758854656,215044366617088,143681683,293717339,cubic,2025-07-17 16:58:28,0,cpu_bound,6000000,500000,10,10,300,4096,65536,4194304
10.0,7.240234375,5.173828125,4.73583984375,0.0,2.0,32.0,27.97,472735358976,414685253632,54871638016,12.3,0,0,0.0,64550758854656,215044366940672,143745828,293776258,cubic,2025-07-17 16:58:36,0,cpu_bound,6000000,500000,10,10,500,4096,87380,6291456
6.6,7.240234375,5.173828125,4.73583984375,0.0,2.0,32.0,28.01,472735358976,414685872128,54871019520,12.3,0,0,0.0,64550758854656,215044367677952,143759549,293788971,cubic,2025-07-17 16:58:39,0,cpu_bound,6000000,500000,10,10,500,4096,87380,6291456
4.6,6.8203125,5.12109375,4.720703125,0.0,2.0,32.0,28.04,472735358976,414688133120,54868758528,12.3,0,0,0.0,64550758854656,215044368484864,143766950,293795822,cubic,2025-07-17 16:58:43,0,cpu_bound,6000000,500000,10,10,500,4096,87380,6291456
6.7,6.07861328125,5.017578125,4.69140625,0.0,2.0,32.0,28.07,472735358976,414695051264,54861840384,12.3,0,0,0.0,64550758854656,215044368730624,143793084,293819524,cubic,2025-07-17 16:58:50,0,cpu_bound,6000000,500000,10,10,500,4096,65536,4194304
18.5,6.07861328125,5.017578125,4.69140625,0.0,2.0,32.0,28.05,472735358976,414654935040,54901956608,12.3,0,0,0.0,64550758854656,215044369005056,143835618,293858398,cubic,2025-07-17 16:58:53,0,cpu_bound,6000000,500000,10,10,500,4096,65536,4194304
11.0,5.83203125,4.98388671875,4.68212890625,0.0,2.0,32.0,28.03,472735358976,414644662272,54912225280,12.3,0,0,0.0,64550758854656,215044369279488,143843628,293865696,cubic,2025-07-17 16:58:57,0,cpu_bound,6000000,500000,10,10,500,4096,65536,4194304
10.0,5.39599609375,4.91796875,4.66357421875,0.0,2.0,32.0,28.13,472735358976,414645829632,54911057920,12.3,0,0,0.0,64550758854656,215044369689088,143889948,293908456,cubic,2025-07-17 16:59:05,0,cpu_bound,6000000,500000,30,5,300,4096,87380,6291456
10.8,5.39599609375,4.91796875,4.66357421875,0.0,2.0,32.0,28.18,472735358976,414640881664,54916009984,12.3,0,0,0.0,64550758854656,215044369955328,143899804,293916978,cubic,2025-07-17 16:59:08,0,cpu_bound,6000000,500000,30,5,300,4096,87380,6291456
9.8,7.76708984375,5.41748046875,4.82666015625,0.0,2.0,32.0,28.1,472735358976,414634295296,54922596352,12.3,0,0,0.0,64550758854656,215044370201088,143950794,293965422,cubic,2025-07-17 16:59:12,0,cpu_bound,6000000,500000,30,5,300,4096,87380,6291456
10.7,7.18115234375,5.3701171875,4.8173828125,0.0,2.0,32.0,28.09,472735358976,414569299968,54987591680,12.3,0,0,0.0,64550758854656,215044371003904,143974813,293986633,cubic,2025-07-17 16:59:20,0,cpu_bound,6000000,500000,30,5,300,4096,65536,4194304
11.4,7.18115234375,5.3701171875,4.8173828125,0.0,2.0,32.0,28.18,472735358976,414566682624,54990209024,12.3,0,0,0.0,64550758854656,215044371569152,144009744,294019118,cubic,2025-07-17 16:59:23,0,cpu_bound,6000000,500000,30,5,300,4096,65536,4194304
9.7,6.84619140625,5.33056640625,4.8076171875,0.0,2.0,32.0,28.13,472735358976,414574276608,54982615040,12.3,0,0,0.0,64550758854656,215044371843584,144029912,294040060,cubic,2025-07-17 16:59:27,0,cpu_bound,6000000,500000,30,5,300,4096,65536,4194304
6.2,6.1806640625,5.23681640625,4.78271484375,0.0,2.0,32.0,28.18,472735358976,414530543616,55026343936,12.3,0,0,0.0,64550758854656,215044372408832,144078126,294082190,cubic,2025-07-17 16:59:35,0,cpu_bound,6000000,500000,30,5,500,4096,87380,6291456
4.7,6.1806640625,5.23681640625,4.78271484375,0.0,2.0,32.0,28.16,472735358976,414535811072,55021076480,12.3,0,0,0.0,64550758854656,215044372666880,144086776,294090190,cubic,2025-07-17 16:59:38,0,cpu_bound,6000000,500000,30,5,500,4096,87380,6291456
11.0,6.0859375,5.232421875,4.7841796875,0.0,2.0,32.0,28.19,472735358976,414535704576,55021178880,12.3,0,0,0.0,64550758854656,215044372916736,144096270,294099586,cubic,2025-07-17 16:59:42,0,cpu_bound,6000000,500000,30,5,500,4096,87380,6291456
10.6,5.61083984375,5.15869140625,4.7646484375,0.0,2.0,32.0,28.21,472735358976,414539943936,55016943616,12.3,0,0,0.0,64550758854656,215044373920256,144150012,294149964,cubic,2025-07-17 16:59:50,0,cpu_bound,6000000,500000,30,5,500,4096,65536,4194304
21.1,5.61083984375,5.15869140625,4.7646484375,0.0,2.0,32.0,28.24,472735358976,414464069632,55092822016,12.3,0,0,0.0,64550758854656,215044374190592,144159916,294158388,cubic,2025-07-17 16:59:53,0,cpu_bound,6000000,500000,30,5,500,4096,65536,4194304
10.4,5.4013671875,5.12255859375,4.7548828125,0.0,2.0,32.0,28.21,472735358976,414485499904,55071391744,12.3,0,0,0.0,64550758854656,215044374473216,144167866,294165618,cubic,2025-07-17 16:59:57,0,cpu_bound,6000000,500000,30,5,500,4096,65536,4194304
10.6,5.03173828125,5.05224609375,4.7353515625,0.0,2.0,32.0,28.24,472735358976,414457356288,55099535360,12.3,0,0,0.0,64550758854656,215044374845952,144221316,294214444,cubic,2025-07-17 17:00:05,0,cpu_bound,6000000,500000,30,10,300,4096,87380,6291456
10.3,5.03173828125,5.05224609375,4.7353515625,0.0,2.0,32.0,28.17,472735358976,414480052224,55076839424,12.3,0,0,0.0,64550758854656,215044375439872,144232235,294225009,cubic,2025-07-17 17:00:08,0,cpu_bound,6000000,500000,30,10,300,4096,87380,6291456
10.3,5.75,5.201171875,4.78515625,0.0,2.0,32.0,28.19,472735358976,414462234624,55094657024,12.3,0,0,0.0,64550758854656,215044375722496,144239599,294232417,cubic,2025-07-17 17:00:12,0,cpu_bound,6000000,500000,30,10,300,4096,87380,6291456
11.6,5.4072265625,5.14501953125,4.77099609375,0.0,2.0,32.0,28.05,472735358976,414413090816,55143800832,12.3,0,0,0.0,64550758854656,215044377197056,144262995,294254599,cubic,2025-07-17 17:00:20,0,cpu_bound,6000000,500000,30,10,300,4096,65536,4194304
5.0,5.4072265625,5.14501953125,4.77099609375,0.0,2.0,32.0,28.08,472735358976,414417997824,55138893824,12.3,0,0,0.0,64550758854656,215044377532928,144306284,294295966,cubic,2025-07-17 17:00:23,0,cpu_bound,6000000,500000,30,10,300,4096,65536,4194304
6.3,5.13427734375,5.0927734375,4.755859375,0.0,2.0,32.0,28.15,472735358976,414417842176,55139016704,12.3,0,0,0.0,64550758854656,215044377778688,144313649,294302781,cubic,2025-07-17 17:00:26,0,cpu_bound,6000000,500000,30,10,300,4096,65536,4194304
10.4,4.8828125,5.041015625,4.74072265625,0.0,2.0,32.0,28.17,472735358976,414358781952,55198109696,12.3,0,0,0.0,64550758854656,215044378364416,144337453,294323657,cubic,2025-07-17 17:00:34,0,cpu_bound,6000000,500000,30,10,500,4096,87380,6291456
11.1,4.81201171875,5.0234375,4.736328125,0.0,2.0,32.0,28.14,472735358976,414350897152,55205994496,12.4,0,0,0.0,64550758854656,215044378724864,144348567,294334041,cubic,2025-07-17 17:00:38,0,cpu_bound,6000000,500000,30,10,500,4096,87380,6291456
11.2,4.74658203125,5.00634765625,4.73193359375,0.0,2.0,32.0,28.08,472735358976,414348582912,55208308736,12.4,0,0,0.0,64550758854656,215044378991104,144388353,294372417,cubic,2025-07-17 17:00:41,0,cpu_bound,6000000,500000,30,10,500,4096,87380,6291456
14.0,4.6865234375,4.9892578125,4.7275390625,0.0,2.0,32.0,28.17,472735358976,414355333120,55201558528,12.3,0,0,0.0,64550758854656,215044382112256,144411837,294394795,cubic,2025-07-17 17:00:49,0,cpu_bound,6000000,500000,30,10,500,4096,65536,4194304
